sequence,obstacles,lux,has_video,required_files
125,1,100,1,dataset/125/optitrack.csv;dataset/125/imu.csv;dataset/125/radar.csv;dataset/125/125.avi
126,1,100,1,dataset/126/optitrack.csv;dataset/126/imu.csv;dataset/126/radar.csv;dataset/126/126.avi
127,1,100,1,dataset/127/optitrack.csv;dataset/127/imu.csv;dataset/127/radar.csv;dataset/127/127.avi
128,1,100,1,dataset/128/optitrack.csv;dataset/128/imu.csv;dataset/128/radar.csv;dataset/128/128.avi
129,1,100,1,dataset/129/optitrack.csv;dataset/129/imu.csv;dataset/129/radar.csv;dataset/129/129.avi
130,1,100,1,dataset/130/optitrack.csv;dataset/130/imu.csv;dataset/130/radar.csv;dataset/130/130.avi
131,1,100,1,dataset/131/optitrack.csv;dataset/131/imu.csv;dataset/131/radar.csv;dataset/131/131.avi
132,1,100,1,dataset/132/optitrack.csv;dataset/132/imu.csv;dataset/132/radar.csv;dataset/132/132.avi
133,1,100,1,dataset/133/optitrack.csv;dataset/133/imu.csv;dataset/133/radar.csv;dataset/133/133.avi
134,1,100,1,dataset/134/optitrack.csv;dataset/134/imu.csv;dataset/134/radar.csv;dataset/134/134.avi
135,1,100,1,dataset/135/optitrack.csv;dataset/135/imu.csv;dataset/135/radar.csv;dataset/135/135.avi
136,1,100,1,dataset/136/optitrack.csv;dataset/136/imu.csv;dataset/136/radar.csv;dataset/136/136.avi
137,1,100,1,dataset/137/optitrack.csv;dataset/137/imu.csv;dataset/137/radar.csv;dataset/137/137.avi
138,1,100,1,dataset/138/optitrack.csv;dataset/138/imu.csv;dataset/138/radar.csv;dataset/138/138.avi
139,1,100,1,dataset/139/optitrack.csv;dataset/139/imu.csv;dataset/139/radar.csv;dataset/139/139.avi
140,1,100,1,dataset/140/optitrack.csv;dataset/140/imu.csv;dataset/140/radar.csv;dataset/140/140.avi
141,1,100,1,dataset/141/optitrack.csv;dataset/141/imu.csv;dataset/141/radar.csv;dataset/141/141.avi
142,1,100,1,dataset/142/optitrack.csv;dataset/142/imu.csv;dataset/142/radar.csv;dataset/142/142.avi
143,1,100,1,dataset/143/optitrack.csv;dataset/143/imu.csv;dataset/143/radar.csv;dataset/143/143.avi
144,1,100,1,dataset/144/optitrack.csv;dataset/144/imu.csv;dataset/144/radar.csv;dataset/144/144.avi
145,1,100,1,dataset/145/optitrack.csv;dataset/145/imu.csv;dataset/145/radar.csv;dataset/145/145.avi
146,1,100,1,dataset/146/optitrack.csv;dataset/146/imu.csv;dataset/146/radar.csv;dataset/146/146.avi
147,1,100,1,dataset/147/optitrack.csv;dataset/147/imu.csv;dataset/147/radar.csv;dataset/147/147.avi
148,1,100,1,dataset/148/optitrack.csv;dataset/148/imu.csv;dataset/148/radar.csv;dataset/148/148.avi
149,1,100,1,dataset/149/optitrack.csv;dataset/149/imu.csv;dataset/149/radar.csv;dataset/149/149.avi
150,1,100,1,dataset/150/optitrack.csv;dataset/150/imu.csv;dataset/150/radar.csv;dataset/150/150.avi
151,1,100,1,dataset/151/optitrack.csv;dataset/151/imu.csv;dataset/151/radar.csv;dataset/151/151.avi
152,1,100,1,dataset/152/optitrack.csv;dataset/152/imu.csv;dataset/152/radar.csv;dataset/152/152.avi
153,1,100,1,dataset/153/optitrack.csv;dataset/153/imu.csv;dataset/153/radar.csv;dataset/153/153.avi
154,1,100,1,dataset/154/optitrack.csv;dataset/154/imu.csv;dataset/154/radar.csv;dataset/154/154.avi
155,1,100,1,dataset/155/optitrack.csv;dataset/155/imu.csv;dataset/155/radar.csv;dataset/155/155.avi
156,1,100,1,dataset/156/optitrack.csv;dataset/156/imu.csv;dataset/156/radar.csv;dataset/156/156.avi
157,1,100,1,dataset/157/optitrack.csv;dataset/157/imu.csv;dataset/157/radar.csv;dataset/157/157.avi
158,1,100,1,dataset/158/optitrack.csv;dataset/158/imu.csv;dataset/158/radar.csv;dataset/158/158.avi
159,1,100,1,dataset/159/optitrack.csv;dataset/159/imu.csv;dataset/159/radar.csv;dataset/159/159.avi
160,1,100,1,dataset/160/optitrack.csv;dataset/160/imu.csv;dataset/160/radar.csv;dataset/160/160.avi
161,1,100,1,dataset/161/optitrack.csv;dataset/161/imu.csv;dataset/161/radar.csv;dataset/161/161.avi
162,1,100,1,dataset/162/optitrack.csv;dataset/162/imu.csv;dataset/162/radar.csv;dataset/162/162.avi
163,1,100,1,dataset/163/optitrack.csv;dataset/163/imu.csv;dataset/163/radar.csv;dataset/163/163.avi
164,1,100,1,dataset/164/optitrack.csv;dataset/164/imu.csv;dataset/164/radar.csv;dataset/164/164.avi
165,1,100,1,dataset/165/optitrack.csv;dataset/165/imu.csv;dataset/165/radar.csv;dataset/165/165.avi
166,1,100,1,dataset/166/optitrack.csv;dataset/166/imu.csv;dataset/166/radar.csv;dataset/166/166.avi
167,1,100,1,dataset/167/optitrack.csv;dataset/167/imu.csv;dataset/167/radar.csv;dataset/167/167.avi
168,1,100,1,dataset/168/optitrack.csv;dataset/168/imu.csv;dataset/168/radar.csv;dataset/168/168.avi
169,1,100,1,dataset/169/optitrack.csv;dataset/169/imu.csv;dataset/169/radar.csv;dataset/169/169.avi
170,1,100,1,dataset/170/optitrack.csv;dataset/170/imu.csv;dataset/170/radar.csv;dataset/170/170.avi
171,1,100,1,dataset/171/optitrack.csv;dataset/171/imu.csv;dataset/171/radar.csv;dataset/171/171.avi
172,1,100,1,dataset/172/optitrack.csv;dataset/172/imu.csv;dataset/172/radar.csv;dataset/172/172.avi
173,1,100,1,dataset/173/optitrack.csv;dataset/173/imu.csv;dataset/173/radar.csv;dataset/173/173.avi
174,1,100,1,dataset/174/optitrack.csv;dataset/174/imu.csv;dataset/174/radar.csv;dataset/174/174.avi
175,1,100,1,dataset/175/optitrack.csv;dataset/175/imu.csv;dataset/175/radar.csv;dataset/175/175.avi
176,1,100,1,dataset/176/optitrack.csv;dataset/176/imu.csv;dataset/176/radar.csv;dataset/176/176.avi
177,1,100,1,dataset/177/optitrack.csv;dataset/177/imu.csv;dataset/177/radar.csv;dataset/177/177.avi
178,1,100,1,dataset/178/optitrack.csv;dataset/178/imu.csv;dataset/178/radar.csv;dataset/178/178.avi
179,1,100,1,dataset/179/optitrack.csv;dataset/179/imu.csv;dataset/179/radar.csv;dataset/179/179.avi
180,1,100,1,dataset/180/optitrack.csv;dataset/180/imu.csv;dataset/180/radar.csv;dataset/180/180.avi
181,1,100,1,dataset/181/optitrack.csv;dataset/181/imu.csv;dataset/181/radar.csv;dataset/181/181.avi
182,1,100,1,dataset/182/optitrack.csv;dataset/182/imu.csv;dataset/182/radar.csv;dataset/182/182.avi
183,1,100,1,dataset/183/optitrack.csv;dataset/183/imu.csv;dataset/183/radar.csv;dataset/183/183.avi
406,1,100,1,dataset/406/optitrack.csv;dataset/406/imu.csv;dataset/406/radar.csv;dataset/406/406.avi
407,1,100,1,dataset/407/optitrack.csv;dataset/407/imu.csv;dataset/407/radar.csv;dataset/407/407.avi
408,1,100,1,dataset/408/optitrack.csv;dataset/408/imu.csv;dataset/408/radar.csv;dataset/408/408.avi
409,1,100,1,dataset/409/optitrack.csv;dataset/409/imu.csv;dataset/409/radar.csv;dataset/409/409.avi
410,1,100,1,dataset/410/optitrack.csv;dataset/410/imu.csv;dataset/410/radar.csv;dataset/410/410.avi
411,1,100,1,dataset/411/optitrack.csv;dataset/411/imu.csv;dataset/411/radar.csv;dataset/411/411.avi
412,1,100,1,dataset/412/optitrack.csv;dataset/412/imu.csv;dataset/412/radar.csv;dataset/412/412.avi
413,1,100,1,dataset/413/optitrack.csv;dataset/413/imu.csv;dataset/413/radar.csv;dataset/413/413.avi
414,1,100,1,dataset/414/optitrack.csv;dataset/414/imu.csv;dataset/414/radar.csv;dataset/414/414.avi
415,1,100,1,dataset/415/optitrack.csv;dataset/415/imu.csv;dataset/415/radar.csv;dataset/415/415.avi
416,1,100,1,dataset/416/optitrack.csv;dataset/416/imu.csv;dataset/416/radar.csv;dataset/416/416.avi
417,1,100,1,dataset/417/optitrack.csv;dataset/417/imu.csv;dataset/417/radar.csv;dataset/417/417.avi
418,1,100,1,dataset/418/optitrack.csv;dataset/418/imu.csv;dataset/418/radar.csv;dataset/418/418.avi
419,1,100,1,dataset/419/optitrack.csv;dataset/419/imu.csv;dataset/419/radar.csv;dataset/419/419.avi
420,1,100,1,dataset/420/optitrack.csv;dataset/420/imu.csv;dataset/420/radar.csv;dataset/420/420.avi
345,2,100,1,dataset/345/optitrack.csv;dataset/345/imu.csv;dataset/345/radar.csv;dataset/345/345.avi
184,2,100,1,dataset/184/optitrack.csv;dataset/184/imu.csv;dataset/184/radar.csv;dataset/184/184.avi
185,2,100,1,dataset/185/optitrack.csv;dataset/185/imu.csv;dataset/185/radar.csv;dataset/185/185.avi
186,2,100,1,dataset/186/optitrack.csv;dataset/186/imu.csv;dataset/186/radar.csv;dataset/186/186.avi
187,2,100,1,dataset/187/optitrack.csv;dataset/187/imu.csv;dataset/187/radar.csv;dataset/187/187.avi
188,2,100,1,dataset/188/optitrack.csv;dataset/188/imu.csv;dataset/188/radar.csv;dataset/188/188.avi
189,2,100,1,dataset/189/optitrack.csv;dataset/189/imu.csv;dataset/189/radar.csv;dataset/189/189.avi
190,2,100,1,dataset/190/optitrack.csv;dataset/190/imu.csv;dataset/190/radar.csv;dataset/190/190.avi
191,2,100,1,dataset/191/optitrack.csv;dataset/191/imu.csv;dataset/191/radar.csv;dataset/191/191.avi
192,2,100,1,dataset/192/optitrack.csv;dataset/192/imu.csv;dataset/192/radar.csv;dataset/192/192.avi
193,2,100,1,dataset/193/optitrack.csv;dataset/193/imu.csv;dataset/193/radar.csv;dataset/193/193.avi
194,2,100,1,dataset/194/optitrack.csv;dataset/194/imu.csv;dataset/194/radar.csv;dataset/194/194.avi
195,2,100,1,dataset/195/optitrack.csv;dataset/195/imu.csv;dataset/195/radar.csv;dataset/195/195.avi
196,2,100,1,dataset/196/optitrack.csv;dataset/196/imu.csv;dataset/196/radar.csv;dataset/196/196.avi
197,2,100,1,dataset/197/optitrack.csv;dataset/197/imu.csv;dataset/197/radar.csv;dataset/197/197.avi
198,2,100,1,dataset/198/optitrack.csv;dataset/198/imu.csv;dataset/198/radar.csv;dataset/198/198.avi
199,2,100,1,dataset/199/optitrack.csv;dataset/199/imu.csv;dataset/199/radar.csv;dataset/199/199.avi
201,2,100,1,dataset/201/optitrack.csv;dataset/201/imu.csv;dataset/201/radar.csv;dataset/201/201.avi
202,2,100,1,dataset/202/optitrack.csv;dataset/202/imu.csv;dataset/202/radar.csv;dataset/202/202.avi
203,2,100,1,dataset/203/optitrack.csv;dataset/203/imu.csv;dataset/203/radar.csv;dataset/203/203.avi
204,2,100,1,dataset/204/optitrack.csv;dataset/204/imu.csv;dataset/204/radar.csv;dataset/204/204.avi
205,2,100,1,dataset/205/optitrack.csv;dataset/205/imu.csv;dataset/205/radar.csv;dataset/205/205.avi
206,2,100,1,dataset/206/optitrack.csv;dataset/206/imu.csv;dataset/206/radar.csv;dataset/206/206.avi
207,2,100,1,dataset/207/optitrack.csv;dataset/207/imu.csv;dataset/207/radar.csv;dataset/207/207.avi
208,2,100,1,dataset/208/optitrack.csv;dataset/208/imu.csv;dataset/208/radar.csv;dataset/208/208.avi
209,2,100,1,dataset/209/optitrack.csv;dataset/209/imu.csv;dataset/209/radar.csv;dataset/209/209.avi
210,2,100,1,dataset/210/optitrack.csv;dataset/210/imu.csv;dataset/210/radar.csv;dataset/210/210.avi
211,2,100,1,dataset/211/optitrack.csv;dataset/211/imu.csv;dataset/211/radar.csv;dataset/211/211.avi
212,2,100,1,dataset/212/optitrack.csv;dataset/212/imu.csv;dataset/212/radar.csv;dataset/212/212.avi
213,2,100,1,dataset/213/optitrack.csv;dataset/213/imu.csv;dataset/213/radar.csv;dataset/213/213.avi
214,2,100,1,dataset/214/optitrack.csv;dataset/214/imu.csv;dataset/214/radar.csv;dataset/214/214.avi
215,2,100,1,dataset/215/optitrack.csv;dataset/215/imu.csv;dataset/215/radar.csv;dataset/215/215.avi
216,2,100,1,dataset/216/optitrack.csv;dataset/216/imu.csv;dataset/216/radar.csv;dataset/216/216.avi
217,2,100,1,dataset/217/optitrack.csv;dataset/217/imu.csv;dataset/217/radar.csv;dataset/217/217.avi
218,2,100,1,dataset/218/optitrack.csv;dataset/218/imu.csv;dataset/218/radar.csv;dataset/218/218.avi
219,2,100,1,dataset/219/optitrack.csv;dataset/219/imu.csv;dataset/219/radar.csv;dataset/219/219.avi
220,2,100,1,dataset/220/optitrack.csv;dataset/220/imu.csv;dataset/220/radar.csv;dataset/220/220.avi
221,2,100,1,dataset/221/optitrack.csv;dataset/221/imu.csv;dataset/221/radar.csv;dataset/221/221.avi
222,2,100,1,dataset/222/optitrack.csv;dataset/222/imu.csv;dataset/222/radar.csv;dataset/222/222.avi
223,2,100,1,dataset/223/optitrack.csv;dataset/223/imu.csv;dataset/223/radar.csv;dataset/223/223.avi
224,2,100,1,dataset/224/optitrack.csv;dataset/224/imu.csv;dataset/224/radar.csv;dataset/224/224.avi
225,2,100,1,dataset/225/optitrack.csv;dataset/225/imu.csv;dataset/225/radar.csv;dataset/225/225.avi
226,2,100,1,dataset/226/optitrack.csv;dataset/226/imu.csv;dataset/226/radar.csv;dataset/226/226.avi
227,2,100,1,dataset/227/optitrack.csv;dataset/227/imu.csv;dataset/227/radar.csv;dataset/227/227.avi
228,2,100,1,dataset/228/optitrack.csv;dataset/228/imu.csv;dataset/228/radar.csv;dataset/228/228.avi
229,2,100,1,dataset/229/optitrack.csv;dataset/229/imu.csv;dataset/229/radar.csv;dataset/229/229.avi
230,2,100,1,dataset/230/optitrack.csv;dataset/230/imu.csv;dataset/230/radar.csv;dataset/230/230.avi
231,2,100,1,dataset/231/optitrack.csv;dataset/231/imu.csv;dataset/231/radar.csv;dataset/231/231.avi
232,2,100,1,dataset/232/optitrack.csv;dataset/232/imu.csv;dataset/232/radar.csv;dataset/232/232.avi
233,2,100,1,dataset/233/optitrack.csv;dataset/233/imu.csv;dataset/233/radar.csv;dataset/233/233.avi
234,2,100,1,dataset/234/optitrack.csv;dataset/234/imu.csv;dataset/234/radar.csv;dataset/234/234.avi
235,2,100,1,dataset/235/optitrack.csv;dataset/235/imu.csv;dataset/235/radar.csv;dataset/235/235.avi
236,2,100,1,dataset/236/optitrack.csv;dataset/236/imu.csv;dataset/236/radar.csv;dataset/236/236.avi
237,2,100,1,dataset/237/optitrack.csv;dataset/237/imu.csv;dataset/237/radar.csv;dataset/237/237.avi
238,2,100,1,dataset/238/optitrack.csv;dataset/238/imu.csv;dataset/238/radar.csv;dataset/238/238.avi
239,2,100,1,dataset/239/optitrack.csv;dataset/239/imu.csv;dataset/239/radar.csv;dataset/239/239.avi
240,2,100,1,dataset/240/optitrack.csv;dataset/240/imu.csv;dataset/240/radar.csv;dataset/240/240.avi
241,2,100,1,dataset/241/optitrack.csv;dataset/241/imu.csv;dataset/241/radar.csv;dataset/241/241.avi
242,2,100,1,dataset/242/optitrack.csv;dataset/242/imu.csv;dataset/242/radar.csv;dataset/242/242.avi
243,2,100,1,dataset/243/optitrack.csv;dataset/243/imu.csv;dataset/243/radar.csv;dataset/243/243.avi
244,2,100,1,dataset/244/optitrack.csv;dataset/244/imu.csv;dataset/244/radar.csv;dataset/244/244.avi
245,2,100,1,dataset/245/optitrack.csv;dataset/245/imu.csv;dataset/245/radar.csv;dataset/245/245.avi
246,2,100,1,dataset/246/optitrack.csv;dataset/246/imu.csv;dataset/246/radar.csv;dataset/246/246.avi
247,2,100,1,dataset/247/optitrack.csv;dataset/247/imu.csv;dataset/247/radar.csv;dataset/247/247.avi
248,2,100,1,dataset/248/optitrack.csv;dataset/248/imu.csv;dataset/248/radar.csv;dataset/248/248.avi
249,2,100,1,dataset/249/optitrack.csv;dataset/249/imu.csv;dataset/249/radar.csv;dataset/249/249.avi
250,2,100,1,dataset/250/optitrack.csv;dataset/250/imu.csv;dataset/250/radar.csv;dataset/250/250.avi
251,2,100,1,dataset/251/optitrack.csv;dataset/251/imu.csv;dataset/251/radar.csv;dataset/251/251.avi
252,2,100,1,dataset/252/optitrack.csv;dataset/252/imu.csv;dataset/252/radar.csv;dataset/252/252.avi
253,2,100,1,dataset/253/optitrack.csv;dataset/253/imu.csv;dataset/253/radar.csv;dataset/253/253.avi
254,2,100,1,dataset/254/optitrack.csv;dataset/254/imu.csv;dataset/254/radar.csv;dataset/254/254.avi
255,2,100,1,dataset/255/optitrack.csv;dataset/255/imu.csv;dataset/255/radar.csv;dataset/255/255.avi
256,2,100,1,dataset/256/optitrack.csv;dataset/256/imu.csv;dataset/256/radar.csv;dataset/256/256.avi
257,2,100,1,dataset/257/optitrack.csv;dataset/257/imu.csv;dataset/257/radar.csv;dataset/257/257.avi
258,2,100,1,dataset/258/optitrack.csv;dataset/258/imu.csv;dataset/258/radar.csv;dataset/258/258.avi
259,2,100,1,dataset/259/optitrack.csv;dataset/259/imu.csv;dataset/259/radar.csv;dataset/259/259.avi
260,2,100,1,dataset/260/optitrack.csv;dataset/260/imu.csv;dataset/260/radar.csv;dataset/260/260.avi
261,2,100,1,dataset/261/optitrack.csv;dataset/261/imu.csv;dataset/261/radar.csv;dataset/261/261.avi
262,2,100,1,dataset/262/optitrack.csv;dataset/262/imu.csv;dataset/262/radar.csv;dataset/262/262.avi
263,2,100,1,dataset/263/optitrack.csv;dataset/263/imu.csv;dataset/263/radar.csv;dataset/263/263.avi
264,2,100,1,dataset/264/optitrack.csv;dataset/264/imu.csv;dataset/264/radar.csv;dataset/264/264.avi
265,2,100,1,dataset/265/optitrack.csv;dataset/265/imu.csv;dataset/265/radar.csv;dataset/265/265.avi
266,2,100,1,dataset/266/optitrack.csv;dataset/266/imu.csv;dataset/266/radar.csv;dataset/266/266.avi
267,2,100,1,dataset/267/optitrack.csv;dataset/267/imu.csv;dataset/267/radar.csv;dataset/267/267.avi
268,2,100,1,dataset/268/optitrack.csv;dataset/268/imu.csv;dataset/268/radar.csv;dataset/268/268.avi
269,2,100,1,dataset/269/optitrack.csv;dataset/269/imu.csv;dataset/269/radar.csv;dataset/269/269.avi
270,2,100,1,dataset/270/optitrack.csv;dataset/270/imu.csv;dataset/270/radar.csv;dataset/270/270.avi
271,2,100,1,dataset/271/optitrack.csv;dataset/271/imu.csv;dataset/271/radar.csv;dataset/271/271.avi
272,2,100,1,dataset/272/optitrack.csv;dataset/272/imu.csv;dataset/272/radar.csv;dataset/272/272.avi
273,2,100,1,dataset/273/optitrack.csv;dataset/273/imu.csv;dataset/273/radar.csv;dataset/273/273.avi
274,2,100,1,dataset/274/optitrack.csv;dataset/274/imu.csv;dataset/274/radar.csv;dataset/274/274.avi
275,2,100,1,dataset/275/optitrack.csv;dataset/275/imu.csv;dataset/275/radar.csv;dataset/275/275.avi
276,2,100,1,dataset/276/optitrack.csv;dataset/276/imu.csv;dataset/276/radar.csv;dataset/276/276.avi
277,2,100,1,dataset/277/optitrack.csv;dataset/277/imu.csv;dataset/277/radar.csv;dataset/277/277.avi
