dataset,sample,topic,frame_offset,timestamp_ns,cluster_id,point_count,voxel_count,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,bbox_center_x_m,bbox_center_y_m,bbox_center_z_m,bbox_size_x_m,bbox_size_y_m,bbox_size_z_m,bbox_volume_m3
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,5,111,31,10.712,6.468,3.382,12.766,6.567,4.997,11.739,6.5175,4.1895,2.054,0.099,1.615,0.3284
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,6,93,23,9.984,4.697,0.422,11.08,5.382,1.947,10.532,5.0395,1.1845,1.096,0.685,1.525,1.1449
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,7,72,22,7.701,-4.325,4.623,9.98,-3.214,4.997,8.8405,-3.7695,4.81,2.279,1.111,0.374,0.947
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,8,52,38,11.716,1.063,3.898,14.864,2.278,4.032,13.29,1.6705,3.965,3.148,1.215,0.134,0.5125
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,1805,1690899104500318493,9,49,14,8.492,3.204,0.065,8.867,3.618,0.997,8.6795,3.411,0.531,0.375,0.414,0.932,0.1447
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2257,1690899109020544611,0,166,99,8.479,3.245,-0.552,14.986,3.664,1.062,11.7325,3.4545,0.255,6.507,0.419,1.614,4.4005
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2257,1690899109020544611,1,95,68,10.686,-4.787,3.238,14.899,-2.427,4.093,12.7925,-3.607,3.6655,4.213,2.36,0.855,8.501
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2257,1690899109020544611,2,52,16,9.841,4.705,-0.608,11.068,5.411,0.253,10.4545,5.058,-0.1775,1.227,0.706,0.861,0.7459
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2257,1690899109020544611,3,37,14,8.271,-3.394,2.163,8.533,-2.142,3.184,8.402,-2.768,2.6735,0.262,1.252,1.021,0.3349
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2708,1690899113520295023,0,203,28,4.437,-3.962,-0.576,5.749,-2.759,0.934,5.093,-3.3605,0.179,1.312,1.203,1.51,2.3833
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2708,1690899113520295023,1,148,99,8.24,-4.962,0.925,14.893,-3.092,3.016,11.5665,-4.027,1.9705,6.653,1.87,2.091,26.0144
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2708,1690899113520295023,2,42,36,12.583,3.372,1.112,14.741,3.481,2.404,13.662,3.4265,1.758,2.158,0.109,1.292,0.3039
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,2708,1690899113520295023,3,31,8,7.911,-5.858,-0.584,8.369,-5.516,0.606,8.14,-5.687,0.011,0.458,0.342,1.19,0.1864
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,0,207,54,6.635,-4.27,4.297,9.972,-1.778,5.0,8.3035,-3.024,4.6485,3.337,2.492,0.703,5.846
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,1,178,20,8.202,4.57,0.821,8.873,5.369,3.0,8.5375,4.9695,1.9105,0.671,0.799,2.179,1.1682
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,2,123,51,10.818,-4.875,2.668,14.999,-4.3,4.09,12.9085,-4.5875,3.379,4.181,0.575,1.422,3.4186
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,3,116,76,9.324,3.418,-0.603,14.923,3.617,0.695,12.1235,3.5175,0.046,5.599,0.199,1.298,1.4462
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,4,111,16,8.264,-3.811,2.999,9.162,-3.116,4.195,8.713,-3.4635,3.597,0.898,0.695,1.196,0.7464
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,5,106,29,10.52,6.497,3.295,12.049,6.581,4.988,11.2845,6.539,4.1415,1.529,0.084,1.693,0.2174
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,6,95,25,8.35,-0.942,3.226,8.933,0.087,4.19,8.6415,-0.4275,3.708,0.583,1.029,0.964,0.5783
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,7,91,22,10.409,4.686,0.238,11.094,5.39,1.767,10.7515,5.038,1.0025,0.685,0.704,1.529,0.7373
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,8,89,39,10.135,-0.303,3.817,14.792,0.465,3.991,12.4635,0.081,3.904,4.657,0.768,0.174,0.6223
Multi-LiDAR Multi-UAV,HolybroStdn01_avia_livox,/avia/livox/lidar,3160,1690899118040425207,9,43,13,8.471,3.245,-0.034,8.918,3.651,0.826,8.6945,3.448,0.396,0.447,0.406,0.86,0.1561
