sequence,obstacles,ready,has_optitrack,has_rgb_video,has_radar,has_imu,optitrack_bytes,rgb_video_bytes,radar_bytes,imu_bytes
280,2,1,1,1,1,1,71141,46711464,17238092,319082
281,2,1,1,1,1,1,60539,26972614,14440060,126747
282,2,1,1,1,1,1,56553,24697028,13509621,260302
283,2,1,1,1,1,1,54516,22885550,13190451,255414
284,2,1,1,1,1,1,73699,34286704,15508659,369913
285,2,1,1,1,1,1,64102,31619166,15364788,302126
286,2,1,1,1,1,1,64589,35645010,15368156,288741
287,2,1,1,1,1,1,64332,38791200,15530801,279908
288,2,1,1,1,1,1,54717,23697530,13820518,267950
289,2,1,1,1,1,1,47963,21563194,11957983,232299
290,2,1,1,1,1,1,58685,25820612,14286788,279862
291,2,1,1,1,1,1,51639,21841422,12580815,253327
292,2,1,1,1,1,1,63643,25410274,15533556,308463
293,2,1,1,1,1,1,59999,27541168,14286598,287614
294,2,1,1,1,1,1,55492,26758784,13200540,258603
295,2,1,1,1,1,1,55127,24235050,13514687,268975
296,2,1,1,1,1,1,42006,18470008,10405936,198227
297,2,1,1,1,1,1,45730,20059508,11336363,218810
298,2,1,1,1,1,1,51385,22110066,12265407,243595
299,2,1,1,1,1,1,52677,25355524,12734671,244201
300,2,1,1,1,1,1,46107,22125078,11338493,221809
301,2,1,1,1,1,1,48750,22349858,11653018,237272
302,2,1,1,1,1,1,55862,25515970,13359389,260052
303,2,1,1,1,1,1,55990,24493506,13353662,267784
304,2,1,1,1,1,1,46152,24265132,11185996,207527
305,2,1,1,1,1,1,75622,39876754,17243893,323323
306,2,1,1,1,1,1,48732,19405698,11333231,229785
307,2,1,1,1,1,1,49058,21461786,5015616,256059
308,2,1,1,1,1,1,40402,17511266,8554100,180868
309,2,1,1,1,1,1,48485,21500994,11956662,223546
310,2,1,1,1,1,1,41770,17811462,9936746,195337
311,2,1,1,1,1,1,37564,16181948,8850317,167430
312,2,1,1,1,1,1,48522,20521428,11493271,211709
313,2,1,1,1,1,1,44106,19080220,10869786,199168
314,2,1,1,1,1,1,58602,24302278,14438522,260031
315,2,1,1,1,1,1,39601,17742124,9784438,187802
316,2,1,1,1,1,1,52613,21291740,10908070,238269
317,2,1,1,1,1,1,46854,19419576,10865024,211972
318,2,1,1,1,1,1,50993,22182304,12106920,231837
319,2,1,1,1,1,1,46882,20056746,11019118,208549
320,2,1,1,1,1,1,47331,20862344,11335699,209690
321,2,1,1,1,1,1,96900,58144918,29352645,553182
322,2,1,1,1,1,1,89879,53721910,27332037,524414
323,2,1,1,1,1,1,105795,55352954,31833583,626956
324,2,1,1,1,1,1,114071,62297576,33696774,667384
325,2,1,1,1,1,1,80117,46289322,24837780,492266
326,2,1,1,1,1,1,80625,43813664,25156536,489772
327,2,1,1,1,1,1,79557,62803614,25001298,465016
328,2,1,1,1,1,1,89820,69459978,27797388,510626
329,2,1,1,1,1,1,85888,56565644,25920003,471519
330,2,1,1,1,1,1,100720,71411910,31047028,576522
331,2,1,1,1,1,1,86090,70715324,26854481,486808
332,2,1,1,1,1,1,74286,59091634,22669892,423490
333,2,1,1,1,1,1,78105,65723060,24072557,473652
