sequence,obstacles,lux,has_video,required_files
210,2,100,1,dataset/210/optitrack.csv;dataset/210/imu.csv;dataset/210/radar.csv;dataset/210/210.avi
211,2,100,1,dataset/211/optitrack.csv;dataset/211/imu.csv;dataset/211/radar.csv;dataset/211/211.avi
212,2,100,1,dataset/212/optitrack.csv;dataset/212/imu.csv;dataset/212/radar.csv;dataset/212/212.avi
213,2,100,1,dataset/213/optitrack.csv;dataset/213/imu.csv;dataset/213/radar.csv;dataset/213/213.avi
214,2,100,1,dataset/214/optitrack.csv;dataset/214/imu.csv;dataset/214/radar.csv;dataset/214/214.avi
215,2,100,1,dataset/215/optitrack.csv;dataset/215/imu.csv;dataset/215/radar.csv;dataset/215/215.avi
216,2,100,1,dataset/216/optitrack.csv;dataset/216/imu.csv;dataset/216/radar.csv;dataset/216/216.avi
217,2,100,1,dataset/217/optitrack.csv;dataset/217/imu.csv;dataset/217/radar.csv;dataset/217/217.avi
218,2,100,1,dataset/218/optitrack.csv;dataset/218/imu.csv;dataset/218/radar.csv;dataset/218/218.avi
219,2,100,1,dataset/219/optitrack.csv;dataset/219/imu.csv;dataset/219/radar.csv;dataset/219/219.avi
220,2,100,1,dataset/220/optitrack.csv;dataset/220/imu.csv;dataset/220/radar.csv;dataset/220/220.avi
221,2,100,1,dataset/221/optitrack.csv;dataset/221/imu.csv;dataset/221/radar.csv;dataset/221/221.avi
222,2,100,1,dataset/222/optitrack.csv;dataset/222/imu.csv;dataset/222/radar.csv;dataset/222/222.avi
223,2,100,1,dataset/223/optitrack.csv;dataset/223/imu.csv;dataset/223/radar.csv;dataset/223/223.avi
224,2,100,1,dataset/224/optitrack.csv;dataset/224/imu.csv;dataset/224/radar.csv;dataset/224/224.avi
225,2,100,1,dataset/225/optitrack.csv;dataset/225/imu.csv;dataset/225/radar.csv;dataset/225/225.avi
226,2,100,1,dataset/226/optitrack.csv;dataset/226/imu.csv;dataset/226/radar.csv;dataset/226/226.avi
227,2,100,1,dataset/227/optitrack.csv;dataset/227/imu.csv;dataset/227/radar.csv;dataset/227/227.avi
228,2,100,1,dataset/228/optitrack.csv;dataset/228/imu.csv;dataset/228/radar.csv;dataset/228/228.avi
229,2,100,1,dataset/229/optitrack.csv;dataset/229/imu.csv;dataset/229/radar.csv;dataset/229/229.avi
230,2,100,1,dataset/230/optitrack.csv;dataset/230/imu.csv;dataset/230/radar.csv;dataset/230/230.avi
231,2,100,1,dataset/231/optitrack.csv;dataset/231/imu.csv;dataset/231/radar.csv;dataset/231/231.avi
232,2,100,1,dataset/232/optitrack.csv;dataset/232/imu.csv;dataset/232/radar.csv;dataset/232/232.avi
233,2,100,1,dataset/233/optitrack.csv;dataset/233/imu.csv;dataset/233/radar.csv;dataset/233/233.avi
